r_AU,F_exact,F_no_nn_softened,F_simon_corrected,c_pred,rel_err_no_nn_softened,rel_err_simon_corrected
1.000000000000000082e-05,9.999999999999998510e+07,3.697539426485959211e+03,1.513676112269563018e+05,4.093738937377929688e+01,9.999630246057350513e-01,9.984863238877303981e-01
1.008635027459732969e-05,9.829510882534120977e+07,3.729360092887528936e+03,1.526498087034916389e+05,4.093190383911132812e+01,9.999620595557859870e-01,9.984470253858231947e-01
1.017344618618696168e-05,9.661928418985673785e+07,3.761452723154392061e+03,1.539431463002896635e+05,4.092651367187500000e+01,9.999610693377134485e-01,9.984067037176782566e-01
1.026129417336480126e-05,9.497203054068538547e+07,3.793819592553732491e+03,1.552447116752089059e+05,4.092042541503906250e+01,9.999600532959972421e-01,9.983653638782766793e-01
1.034990073032420324e-05,9.335286077360300720e+07,3.826462994098717445e+03,1.565590070668844855e+05,4.091481018066406250e+01,9.999590107580808018e-01,9.983229329474264668e-01
1.043927240733608458e-05,9.176129608898195624e+07,3.859385238652520002e+03,1.578835775367777969e+05,4.090899658203125000e+01,9.999579410339310970e-01,9.982794099008401867e-01
1.052941581123306303e-05,9.019686585020841658e+07,3.892588655031936923e+03,1.592180484139936452e+05,4.090287017822265625e+01,9.999568434155851060e-01,9.982347718303382633e-01
1.062033760589800710e-05,8.865910744450938702e+07,3.926075590110679514e+03,1.605643364729103050e+05,4.089690399169921875e+01,9.999557171766864094e-01,9.981889696264604206e-01
1.071204451275657046e-05,8.714756614615669847e+07,3.959848408922146518e+03,1.619188183544657077e+05,4.089015579223632812e+01,9.999545615720090153e-01,9.981420156004940925e-01
1.080454331127410552e-05,8.566179498200093210e+07,3.993909494761758197e+03,1.632874483407841180e+05,4.088411331176757812e+01,9.999533758369690828e-01,9.980938124355775987e-01
1.089784083945683080e-05,8.420135459929850698e+07,4.028261249288767431e+03,1.646659659158937284e+05,4.087767791748046875e+01,9.999521591871239901e-01,9.980443786599454414e-01
1.099194399435733851e-05,8.276581313579194248e+07,4.062906092627509679e+03,1.660546253726302821e+05,4.087089920043945312e+01,9.999509108176589667e-01,9.979936809767072647e-01
1.108685973258446092e-05,8.135474609200522304e+07,4.097846463468062211e+03,1.674565486022591940e+05,4.086452484130859375e+01,9.999496299028597379e-01,9.979416499141565700e-01
1.118259507081753460e-05,7.996773620571658015e+07,4.133084819166257148e+03,1.688660391497167002e+05,4.085714340209960938e+01,9.999483155955729563e-01,9.978883228766748381e-01
1.127915708632511826e-05,7.860437332857090235e+07,4.168623635843011471e+03,1.702914018646976037e+05,4.085074996948242188e+01,9.999469670266510901e-01,9.978335632655849219e-01
1.137655291748819998e-05,7.726425430479593575e+07,4.204465408482936255e+03,1.717257651361828903e+05,4.084366226196289062e+01,9.999455833043842112e-01,9.977774228628577546e-01
1.147478976432781567e-05,7.594698285198755562e+07,4.240612651032134636e+03,1.731718358539337059e+05,4.083651351928710938e+01,9.999441635139173501e-01,9.977198325812175472e-01
1.157387488903744830e-05,7.465216944392439723e+07,4.277067896495243076e+03,1.746294758487617073e+05,4.082925033569335938e+01,9.999427067166518635e-01,9.976607581916298040e-01
1.167381561651979939e-05,7.337943119538362324e+07,4.313833697031533120e+03,1.760980953826734039e+05,4.082171630859375000e+01,9.999412119496327023e-01,9.976001708855743999e-01
1.177461933492830738e-05,7.212839174891869724e+07,4.350912624050128215e+03,1.775778620968940668e+05,4.081393432617187500e+01,9.999396782249188043e-01,9.975380310333959999e-01
1.187629349621331448e-05,7.089868116356809437e+07,4.388307268304222816e+03,1.790706714844119560e+05,4.080632019042968750e+01,9.999381045289378322e-01,9.974742735895004708e-01
1.197884561667296499e-05,6.968993580546094477e+07,4.426020239984289219e+03,1.805752571739787818e+05,4.079856109619140625e+01,9.999364898218254805e-01,9.974088761155117666e-01
1.208228327750883697e-05,6.850179824028827250e+07,4.464054168810183000e+03,1.820936269020719628e+05,4.079108810424804688e+01,9.999348330367453519e-01,9.973417686603885945e-01
1.218661412538639845e-05,6.733391712760701776e+07,4.502411704122118863e+03,1.836209848464776587e+05,4.078280639648437500e+01,9.999331330791940697e-01,9.972729793144443633e-01
1.229184587300027831e-05,6.618594711694640666e+07,4.541095514970438671e+03,1.851618773342331988e+05,4.077471542358398438e+01,9.999313888262875150e-01,9.972023989169928049e-01
1.239798629964446511e-05,6.505754874568499625e+07,4.580108290204126206e+03,1.867140520417290682e+05,4.076629638671875000e+01,9.999295991260275240e-01,9.971300171057533301e-01
1.250504325178728833e-05,6.394838833867046982e+07,4.619452738557956764e+03,1.882777665055603429e+05,4.075759124755859375e+01,9.999277627965524884e-01,9.970557855890215260e-01
1.261302464365161897e-05,6.285813790954795480e+07,4.659131588738342543e+03,1.898539781441268860e+05,4.074879074096679688e+01,9.999258786253668596e-01,9.969796436156393993e-01
1.272193845779983899e-05,6.178647506377322972e+07,4.699147589507641896e+03,1.914439260136211233e+05,4.074013900756835938e+01,9.999239453685510037e-01,9.969015237425986609e-01
1.283179274572397256e-05,6.073308290327821672e+07,4.739503509766990646e+03,1.930464302615122579e+05,4.073136138916015625e+01,9.999219617499524038e-01,9.968213958351339610e-01
1.294259562844090118e-05,5.969764993276201189e+07,4.780202138637522694e+03,1.946595014832621382e+05,4.072202301025390625e+01,9.999199264603544357e-01,9.967392434760412590e-01
1.305435529709270675e-05,5.867986996757967770e+07,4.821246285539948076e+03,1.962889693412079650e+05,4.071332550048828125e+01,9.999178381566249385e-01,9.966549181269546143e-01
1.316708001355221204e-05,5.767944204320116341e+07,4.862638780272374788e+03,1.979263377557907370e+05,4.070348358154296875e+01,9.999156954608432457e-01,9.965685115745823719e-01
1.328077811103373719e-05,5.669607032621418685e+07,4.904382473086331629e+03,1.995795589453697030e+05,4.069412612915039062e+01,9.999134969594035693e-01,9.964798343554139848e-01
1.339545799470916033e-05,5.572946402684400231e+07,4.946480234760902931e+03,2.012447058761856752e+05,4.068442535400390625e+01,9.999112412020976226e-01,9.963888993122336224e-01
1.351112814232917217e-05,5.477933731296569854e+07,4.988934956674848763e+03,2.029234791794773191e+05,4.067470932006835938e+01,9.999089267011724846e-01,9.962956200433726872e-01
1.362779710485015497e-05,5.384540922558037937e+07,5.031749550876778812e+03,2.046146796926157840e+05,4.066471862792968750e+01,9.999065519303642624e-01,9.961999605419394888e-01
1.374547350706620460e-05,5.292740359573455900e+07,5.074926950153066173e+03,2.063189226428483089e+05,4.065456008911132812e+01,9.999041153239082158e-01,9.961018506742038703e-01
1.386416604824675324e-05,5.202504896285483986e+07,5.118470108093617455e+03,2.080358852446232922e+05,4.064415359497070312e+01,9.999016152755234588e-01,9.960012361469730013e-01
1.398388350277966051e-05,5.113807849447522312e+07,5.162381999155300946e+03,2.097643054325960984e+05,4.063323974609375000e+01,9.998990501373704598e-01,9.958980800294391367e-01
1.410463472081986964e-05,5.026622990733283013e+07,5.206665618722979161e+03,2.115093304713830294e+05,4.062279891967773438e+01,9.998964182189846728e-01,9.957922181380759463e-01
1.422642862894365055e-05,4.940924538980902731e+07,5.251323983168029372e+03,2.132670474912543141e+05,4.061205291748046875e+01,9.998937177861807468e-01,9.956836611081851807e-01
1.434927423080850978e-05,4.856687152569267154e+07,5.296360129904289352e+03,2.150346174697600654e+05,4.060045242309570312e+01,9.998909470599294247e-01,9.955724012950679658e-01
1.447318060781880921e-05,4.773885921924307197e+07,5.341777117441306473e+03,2.168209815674526617e+05,4.058967208862304688e+01,9.998881042152074627e-01,9.954581867871686862e-01
1.459815691979699908e-05,4.692496362153141946e+07,5.387578025434722804e+03,2.186154716377189034e+05,4.057769012451171875e+01,9.998851873798157985e-01,9.953411690757836272e-01
1.472421240566093599e-05,4.612494405803608149e+07,5.433765954733899889e+03,2.204277767983348749e+05,4.056629943847656250e+01,9.998821946331708510e-01,9.952210722137464494e-01
1.485135638410675747e-05,4.533856395747432858e+07,5.480344027426387584e+03,2.222515488394309650e+05,4.055430603027343750e+01,9.998791240050617368e-01,9.950979579095647898e-01
1.497959825429779935e-05,4.456559078184632212e+07,5.527315386879355174e+03,2.240900851205376675e+05,4.054230117797851562e+01,9.998759734743799532e-01,9.949716792442518942e-01
1.510894749655942864e-05,4.380579595767207444e+07,5.574683197777765599e+03,2.259413928234096093e+05,4.052990722656250000e+01,9.998727409678124234e-01,9.948422032316971420e-01
1.523941367307988208e-05,4.305895480840069801e+07,5.622450646159189091e+03,2.278058312752655474e+05,4.051717758178710938e+01,9.998694243585061203e-01,9.947094435457403128e-01
1.537100642861715573e-05,4.232484648797196150e+07,5.670620939445171643e+03,2.296875554142068431e+05,4.050483322143554688e+01,9.998660214646954980e-01,9.945732217722400570e-01
1.550373549121199498e-05,4.160325391551065445e+07,5.719197306468980969e+03,2.315804534463536693e+05,4.049177551269531250e+01,9.998625300482966161e-01,9.944335975758854529e-01
1.563761067290704752e-05,4.089396371113422513e+07,5.768182997499655357e+03,2.334897079832118761e+05,4.047890090942382812e+01,9.998589478134658481e-01,9.942903625182305527e-01
1.577264187047224377e-05,4.019676613285476714e+07,5.817581284262199006e+03,2.354099144402273232e+05,4.046525573730468750e+01,9.998552724051225082e-01,9.941435608610360575e-01
1.590883906613630463e-05,3.951145501455750316e+07,5.867395459953747377e+03,2.373457528543486551e+05,4.045163726806640625e+01,9.998515014074325080e-01,9.939929887986432844e-01
1.604621232832486300e-05,3.883782770503503829e+07,5.917628839255728053e+03,2.392983375184007455e+05,4.043821334838867188e+01,9.998476323422567091e-01,9.938385241487803778e-01
1.618477181240465332e-05,3.817568500806271285e+07,5.968284758341638735e+03,2.412619645634387853e+05,4.042400360107421875e+01,9.998436626675569761e-01,9.936802191103452087e-01
1.632452776143428094e-05,3.752483112349470705e+07,6.019366574880490589e+03,2.432389973288275651e+05,4.040940093994140625e+01,9.998395897757654804e-01,9.935179189340433981e-01
1.646549050692143910e-05,3.688507358936463296e+07,6.070877668035685019e+03,2.452312766530539666e+05,4.039469909667968750e+01,9.998354109921095967e-01,9.933514765516487932e-01
1.660767046958667510e-05,3.625622322497316450e+07,6.122821438459196543e+03,2.472407274170813616e+05,4.038019561767578125e+01,9.998311235728976065e-01,9.931807368383923640e-01
1.675107816013375326e-05,3.563809407494600117e+07,6.175201308280889862e+03,2.492626236432406586e+05,4.036510086059570312e+01,9.998267247037595506e-01,9.930057251906050375e-01
1.689572418002663825e-05,3.503050335424566269e+07,6.228020721092823806e+03,2.512999138524815498e+05,4.034988403320312500e+01,9.998222114978447816e-01,9.928262545556021390e-01
1.704161922227324444e-05,3.443327139412057400e+07,6.281283141928395708e+03,2.533509013074318937e+05,4.033425903320312500e+01,9.998175809939743308e-01,9.926422645583802273e-01
1.718877407221592102e-05,3.384622158897577226e+07,6.334992057236115215e+03,2.554181780267977447e+05,4.031862640380859375e+01,9.998128301547462016e-01,9.924535689351514645e-01
