time,rmin_ias15,rmin_noNN,rmin_v4,pair_ias15,pair_noNN,pair_v4,err_noNN,err_v4
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.583578631377114031e-18,1.583578631377114031e-18
2.000400080016003293e-02,9.999977304628420161e-01,9.999912170245475185e-01,9.999912170245475185e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.542113848681866961e-02,1.542113848681866961e-02
4.000800160032006586e-02,9.999908974618602064e-01,9.999647005713485637e-01,9.999647005713485637e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.084252754615358569e-02,3.084252754615358569e-02
6.001200240048010226e-02,9.999794658948808479e-01,9.999647005713485637e-01,9.999647005713485637e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.542275133228090782e-02,1.542275133228090782e-02
8.001600320064013172e-02,9.999634026478597670e-01,9.999201924658781548e-01,9.999201924658781548e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.084576506056193809e-02,3.084576506056193809e-02
1.000200040008001612e-01,9.999426766094022812e-01,9.999201924658781548e-01,9.999201924658781548e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.542470816937064476e-02,1.542470816937064476e-02
1.200240048009602045e-01,9.999172586846860611e-01,9.998574658173138285e-01,9.998574658173138285e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.084971775626643362e-02,3.084971775626643362e-02
1.400280056011202201e-01,9.998871218087872492e-01,9.998574658173138285e-01,9.998574658173138285e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.542697851106930584e-02,1.542697851106930584e-02
1.600320064012802634e-01,9.998522409594090554e-01,9.997763254394624877e-01,9.997763254394624877e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.085435296614742404e-02,3.085435296614742404e-02
1.800360072014403068e-01,9.998125931690119428e-01,9.997763254394624877e-01,9.997763254394624877e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.542953158551713631e-02,1.542953158551713631e-02
2.000400080016003224e-01,9.997681575363455142e-01,9.996766082340831083e-01,9.996766082340831083e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.085963732771268564e-02,3.085963732771268564e-02
2.200440088017603657e-01,9.997189152373799903e-01,9.996766082340831083e-01,9.996766082340831083e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.543233637095772597e-02,1.543233637095772597e-02
2.400480096019204090e-01,9.996648495356382780e-01,9.995581835364989454e-01,9.995581835364989454e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.086553681639485000e-02,3.086553681639485000e-02
2.600520104020804246e-01,9.996059457919260760e-01,9.995581835364989454e-01,9.995581835364989454e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.543536163062008727e-02,1.543536163062008727e-02
2.800560112022404402e-01,9.995421914734601287e-01,9.994209534233771119e-01,9.994209534233771119e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.087201677915137402e-02,3.087201677915137402e-02
3.000600120024005113e-01,9.994735761623922965e-01,9.994209534233771119e-01,9.994209534233771119e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.543857594753011986e-02,1.543857594753011986e-02
3.200640128025605269e-01,9.994000915637305527e-01,9.992648529825306492e-01,9.992648529825306492e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.087904196836421811e-02,3.087904196836421811e-02
3.400680136027205425e-01,9.993217315126518008e-01,9.992648529825306492e-01,9.992648529825306492e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.544194775924372619e-02,1.544194775924372619e-02
3.600720144028806136e-01,9.992384919812102861e-01,9.990898505445852118e-01,9.990898505445852118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.088657657604012424e-02,3.088657657604012424e-02
3.800760152030406291e-01,9.991503710844346076e-01,9.990898505445852118e-01,9.990898505445852118e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.544544539249678543e-02,1.544544539249678543e-02
4.000800160032006447e-01,9.990573690858162159e-01,9.988959478763204114e-01,9.988959478763204114e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.089458426831374893e-02,3.089458426831374893e-02
4.200840168033607158e-01,9.989594884021844035e-01,9.988959478763204114e-01,9.988959478763204114e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.544903709776971473e-02,1.544903709776971473e-02
4.400880176035207314e-01,9.988567336079687831e-01,9.986831803354789816e-01,9.986831803354789816e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.090302822025819962e-02,3.090302822025819962e-02
4.600920184036807470e-01,9.987491114388433733e-01,9.986831803354789816e-01,9.986831803354789816e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.545269108376290217e-02,1.545269108376290217e-02
4.800960192038408181e-01,9.986366307947565080e-01,9.984516169868056235e-01,9.984516169868056235e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.091187115101078076e-02,3.091187115101078076e-02
5.001000200040007782e-01,9.985193027423361345e-01,9.984516169868056235e-01,9.984516169868056235e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.545637555178461242e-02,1.545637555178461242e-02
5.201040208041608492e-01,9.983971405166751634e-01,9.982013606790548499e-01,9.982013606790548499e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.092107535922277578e-02,3.092107535922277578e-02
5.401080216043209203e-01,9.982701595224924285e-01,9.982013606790548499e-01,9.982013606790548499e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.546005873005079287e-02,1.546005873005079287e-02
5.601120224044808804e-01,9.981383773346628185e-01,9.979325480826798378e-01,9.979325480826798378e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.093060275884369076e-02,3.093060275884369076e-02
5.801160232046409515e-01,9.980018136981209098e-01,9.979325480826798378e-01,9.979325480826798378e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.546370890789947397e-02,1.546370890789947397e-02
6.001200240048010226e-01,9.978604905271287739e-01,9.976453496878859850e-01,9.976453496878859850e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.094041491525316781e-02,3.094041491525316781e-02
6.201240248049609827e-01,9.977144319039094045e-01,9.976453496878859850e-01,9.976453496878859850e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.546729446991981088e-02,1.546729446991981088e-02
6.401280256051210538e-01,9.975636640766404328e-01,9.973399697627125526e-01,9.973399697627125526e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.095047308175410267e-02,3.095047308175410267e-02
6.601320264052811249e-01,9.974082154568058023e-01,9.973399697627125526e-01,9.973399697627125526e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.547078393000106758e-02,1.547078393000106758e-02
6.801360272054410849e-01,9.972481166159029575e-01,9.970166462707761301e-01,9.970166462707761301e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.096073823644079556e-02,3.096073823644079556e-02
