step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step,encounter_gate_suppressed
369,0,36.900000000000254,0.1,1,2,0.1405226492022885,-0.5655959731462298,0.78824534213392,0.01,0.005,1.0990261337027059,1.000006836622593,False,False,1,False
370,0,37.000000000000256,0.1,1,2,0.12120271538669797,-0.618796602095382,0.7984358250586654,0.01,0.005,1.1400496934421624,1.000009189877751,False,True,1,False
371,0,37.10000000000026,0.1,1,2,0.09766627418719097,-0.7131924386874336,0.854029079114052,0.01,0.005,1.2280570840871712,1.000014152903716,False,True,1,False
372,0,37.20000000000026,0.1,1,2,0.06831765108262268,-0.7921142413005267,1.0133249243825238,0.01,0.005,1.0,1.000028924776397,False,True,1,True
373,2,37.35000000000026,0.05,1,2,0.0535928616886945,0.2812444199095599,1.145401728494963,0.01,0.005,1.0,1.0000470027507955,False,False,1,True
374,0,37.40000000000026,0.1,1,2,0.0623521210852625,0.432172967729673,1.0566544916761356,0.01,0.005,1.0,1.000034724325473,False,False,1,True
375,0,37.50000000000026,0.1,1,2,0.08225777252366755,0.5264814641128216,0.92646168605405,0.01,0.005,1.0,1.000019951765083,False,False,1,True
376,0,37.600000000000264,0.1,1,2,0.10171982642909068,0.5036026570505922,0.8593991441587701,0.01,0.005,1.0,1.0000130473854312,False,False,1,True
377,0,37.700000000000266,0.1,1,2,0.1191553429459865,0.4887363635850083,0.8190406029225545,0.01,0.005,1.0,1.000009508399375,False,False,1,True
378,0,37.80000000000027,0.1,1,2,0.1354876763509336,0.4912794116496213,0.7701806987606747,0.01,0.005,1.0,1.0000073541877266,False,False,1,True
389,0,38.90000000000028,0.1,1,2,0.12289042633843544,-0.9381645211101669,0.30442035824952673,0.01,0.005,1.2534703928247828,1.0000089391929954,False,True,1,False
390,0,39.000000000000284,0.1,1,2,0.08432175855618071,-1.2025805656487834,0.3982539660403206,0.01,0.005,1.0,1.0000189869773444,False,True,1,True
391,2,39.15000000000028,0.05,1,2,0.06339696931838502,3.5032828105609317,0.47840911154263843,0.01,0.005,1.0,1.0000335891648433,False,False,1,True
392,0,39.20000000000029,0.1,1,2,0.1444839080522456,5.004321636122369,0.33261044003271345,0.01,0.005,1.0,1.0000064668870612,False,False,1,True
