step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step,encounter_gate_suppressed
16019,0,80.09499999999964,0.005,1,2,0.1458679842463168,-4.591298022444836,0.4433583045778471,0.01,0.005,1.3037879183810885,1.0000063447463536,False,True,1,False
16020,0,80.09999999999964,0.005,1,2,0.13853500902940094,-4.44196446130722,0.4488576040375227,0.01,0.005,1.2742791489062435,1.000007034207948,False,True,1,False
16021,0,80.10499999999963,0.005,1,2,0.13125201741543618,-4.296098944512041,0.45651623339809033,0.01,0.005,1.250485593552054,1.0000078365040208,False,True,1,False
16022,0,80.10999999999963,0.005,1,2,0.12401212717471333,-4.153175031373542,0.4662197144869488,0.01,0.005,1.2312423122879914,1.0000087782125002,False,True,1,False
16023,0,80.11499999999963,0.005,1,2,0.11680831943154263,-4.01263399155196,0.4779074685154818,0.01,0.005,1.2156979542334723,1.0000098943423574,False,True,1,False
16024,0,80.11999999999962,0.005,1,2,0.10963338397894329,-3.8738789459298357,0.4915787566409684,0.01,0.005,1.2032867087774637,1.0000112317891678,False,True,1,False
16025,0,80.12499999999962,0.005,1,2,0.10247984217235975,-3.7362661948466545,0.5073019688959071,0.01,0.005,1.1937247275540712,1.000012854577387,False,True,1,False
16026,0,80.12999999999961,0.005,1,2,0.09533983906017293,-3.5990929801731677,0.5252288938016868,0.01,0.005,1.187028965529176,1.000014852036729,False,True,1,False
16027,0,80.13499999999961,0.005,1,2,0.08820499138584091,-3.461580423927283,0.545616636757533,0.01,0.005,1.183560451894743,1.0000173519665052,False,True,1,False
16028,0,80.1399999999996,0.005,1,2,0.08106616980905544,-3.3228495662931268,0.5688617170274127,0.01,0.005,1.1840788739701638,1.0000205426254227,False,True,1,False
16029,0,80.1449999999996,0.005,1,2,0.0739131800770362,-3.1818864432390255,0.595554367847301,0.01,0.005,1.1898300909657613,1.000024711083099,False,True,1,False
16030,0,80.1499999999996,0.005,1,2,0.06673428455915846,-3.0374891438817326,0.6265679751393656,0.01,0.005,1.2028898152339296,1.0000303136299635,False,True,1,False
16031,0,80.15499999999959,0.005,1,2,0.059515455482439715,-2.8881906683080314,0.6632131840074287,0.01,0.005,1.226547569268569,1.0000381133395357,False,True,1,False
16032,0,80.15999999999958,0.005,1,2,0.052239156169157946,-2.732134345897144,0.707519429296704,0.01,0.005,1.0,1.0000494703568459,False,True,1,True
16044,2,80.22249999999953,0.0025,1,2,0.05010171719526651,2.6727458427099737,0.7149591833969551,0.01,0.005,1.0,1.0000537814415524,False,False,1,True
16045,0,80.22499999999953,0.005,1,2,0.053749557573900764,2.757296173831537,0.6888911221445457,0.01,0.005,1.0,1.0000467290942494,False,False,1,True
16046,0,80.22999999999952,0.005,1,2,0.061001172013232685,2.9168772550386053,0.6434284359640926,0.01,0.005,1.0,1.0000362793950004,False,False,1,True
16047,0,80.23499999999952,0.005,1,2,0.06820850526959944,3.0669733733892226,0.6046043579612018,0.01,0.005,1.0,1.0000290174205446,False,False,1,True
16048,0,80.23999999999951,0.005,1,2,0.07538038185898645,3.2097603583208674,0.5705935895852415,0.01,0.005,1.0,1.0000237584892786,False,False,1,True
16049,0,80.24499999999951,0.005,1,2,0.08252447795081834,3.3467805808789,0.5401724272932658,0.01,0.005,1.0,1.0000198230114576,False,False,1,True
16050,0,80.2499999999995,0.005,1,2,0.0896474181820638,3.4791786813691905,0.5124899095150213,0.01,0.005,1.0,1.0000167980709516,False,False,1,True
16051,0,80.2549999999995,0.005,1,2,0.09675494117633827,3.607835369207657,0.4869369791037975,0.01,0.005,1.0,1.0000144207718458,False,False,1,True
16052,0,80.2599999999995,0.005,1,2,0.10385205926821856,3.7334481801456487,0.4630677347151639,0.01,0.005,1.0,1.0000125171209713,False,False,1,True
16053,0,80.26499999999949,0.005,1,2,0.11094319358202318,3.8565827268539863,0.4405499348753948,0.01,0.005,1.0,1.0000109681463318,False,False,1,True
16054,0,80.26999999999948,0.005,1,2,0.11803228304266163,3.9777066097880573,0.4191327183628966,0.01,0.005,1.0,1.0000096902025446,False,False,1,True
16055,0,80.27499999999948,0.005,1,2,0.12512287082978196,4.097212659846995,0.39862487239086297,0.01,0.005,1.0,1.0000086230517413,False,False,1,True
16056,0,80.27999999999948,0.005,1,2,0.13221817261180518,4.215435357041616,0.3788797917401307,0.01,0.005,1.0,1.0000077223952581,False,False,1,True
16057,0,80.28499999999947,0.005,1,2,0.13932113046201952,4.332662735930851,0.3597848132471681,0.01,0.005,1.0,1.0000069550505772,False,False,1,True
16058,0,80.28999999999947,0.005,1,2,0.14643445563896668,4.449145218388765,0.3412534891303279,0.01,0.005,1.0,1.000006295752839,False,False,1,True
