step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
3350,0,33.500000000001904,0.01,1,2,0.14960227865154413,-1.312014163323458,0.3403796622712661,0.01,0.005,1.0259955974358683,1.0000060319507666,False,True,1
3351,0,33.5100000000019,0.01,1,2,0.14543032101328252,-1.3052069143578018,0.34866822621255344,0.01,0.005,1.026032545865609,1.000006382992072,False,True,1
3352,0,33.5200000000019,0.01,1,2,0.14121906763471748,-1.298892251769905,0.35712712867926644,0.01,0.005,1.0261461007074177,1.0000067693595005,False,True,1
3353,0,33.5300000000019,0.01,1,2,0.13696422643436293,-1.293050586991427,0.3657821647869006,0.01,0.005,1.0263501361459744,1.0000071964778239,False,True,1
3354,0,33.540000000001896,0.01,1,2,0.13266118231539875,-1.2876616884350733,0.3746643099066001,0.01,0.005,1.0266614985881326,1.000007670904865,False,True,1
3355,0,33.550000000001894,0.01,1,2,0.12830494455333566,-1.2827044242128103,0.38381074744967003,0.01,0.005,1.0271016261698078,1.0000082006367563,False,True,1
3356,0,33.56000000000189,0.01,1,2,0.12389008324479345,-1.278156451095579,0.3932661822492282,0.01,0.005,1.0276974320409697,1.0000087955158512,False,True,1
3357,0,33.57000000000189,0.01,1,2,0.11941065184166454,-1.2739938009303988,0.4030845373843849,0.01,0.005,1.0284826311074715,1.0000094677834406,False,True,1
3358,0,33.58000000000189,0.01,1,2,0.11486009183517332,-1.2701903285575171,0.4133311732046834,0.01,0.005,1.0295011259935085,1.0000102328401705,False,True,1
3359,0,33.590000000001886,0.01,1,2,0.1102311141607292,-1.2667170155676652,0.42408582906513564,0.01,0.005,1.0308098755125747,1.0000111103100442,False,True,1
3360,0,33.600000000001884,0.01,1,2,0.1055155498164074,-1.2635410231525654,0.43544658308500245,0.01,0.005,1.0324853491678536,1.0000121255574494,False,True,1
3361,0,33.61000000000188,0.01,1,2,0.10070415907494623,-1.2606244707649914,0.4475352745410269,0.01,0.005,1.0346333761584798,1.0000133118960466,False,True,1
3362,0,33.62000000000188,0.01,1,2,0.09578638377075324,-1.2579228683548551,0.46050507531273865,0.01,0.005,1.0374051250587413,1.0000147138823199,False,True,1
3363,0,33.63000000000188,0.01,1,2,0.09075001947823587,-1.2553831559327513,0.47455130007035745,0.01,0.005,1.0410229251730025,1.0000163923606762,False,True,1
3364,0,33.640000000001876,0.01,1,2,0.0855807718421902,-1.2529413552529596,0.4899272415115973,0.01,0.005,1.045810147317468,1.0000184324347268,False,True,1
3365,0,33.650000000001874,0.01,1,2,0.08026164130579556,-1.2505193817576656,0.5069680652409765,0.01,0.005,1.0521990041550973,1.0000209565222222,False,True,1
3366,0,33.66000000000187,0.01,1,2,0.07477205117174422,-1.2480184992450565,0.5261281242976614,0.01,0.005,1.0606725359005642,1.0000241466522275,False,True,1
3367,0,33.67000000000187,0.01,1,2,0.06908659500587772,-1.2453017021452513,0.5480415844647266,0.01,0.005,1.0716900577011628,1.0000282844825872,False,True,1
3368,0,33.68000000000187,0.01,1,2,0.06317321820195587,-1.2421529089303822,0.5736256436756046,0.01,0.005,1.0859021889259517,1.0000338275242435,False,True,1
3369,0,33.69000000000187,0.01,1,2,0.05699049146979492,-1.2382104070297852,0.6042668365945717,0.01,0.005,1.104799359957489,1.0000415654008008,False,True,1
3370,0,33.700000000001864,0.01,1,2,0.050483253465659864,-1.232873974006741,0.6421835447188147,0.01,0.005,1.1311891486284007,1.0000529715804787,False,True,1
3381,2,33.815000000001845,0.005,1,2,0.05268030345482883,1.2318411721035487,0.6255508070542032,0.01,0.005,0.952525714447652,1.0000486452851576,False,False,1
3382,0,33.82000000000184,0.01,1,2,0.05592714891985205,1.2407582084549569,0.606673059823376,0.01,0.005,0.9207900980244782,1.0000431610033558,False,False,1
3383,0,33.83000000000184,0.01,1,2,0.06221000534190837,1.2573311682474595,0.57428744256054,0.01,0.005,0.9328863301061739,1.000034883159691,False,False,1
3384,0,33.84000000000184,0.01,1,2,0.06825967552075385,1.2693764571083592,0.5472515587097657,0.01,0.005,0.9416238411309634,1.000028973931345,False,False,1
3385,0,33.850000000001835,0.01,1,2,0.07410092909991321,1.2782679675353588,0.5241867692484862,0.01,0.005,0.9479702237463872,1.000024586020614,False,False,1
3386,0,33.86000000000183,0.01,1,2,0.07975509991932726,1.2848607463525994,0.5041591468111095,0.01,0.005,0.9526653882432856,1.000021223567054,False,False,1
3387,0,33.87000000000183,0.01,1,2,0.08524031143562923,1.2897077888031119,0.4865117271018626,0.01,0.005,0.9562436308683988,1.0000185799721109,False,False,1
3388,0,33.88000000000183,0.01,1,2,0.09057191736290843,1.2931795278771252,0.4707673889899935,0.01,0.005,0.9590762729507588,1.000016456892657,False,False,1
3389,0,33.89000000000183,0.01,1,2,0.09576295488904679,1.295532424811179,0.45657002370571603,0.01,0.005,0.9614155443158497,1.000014721082866,False,False,1
3390,0,33.900000000001825,0.01,1,2,0.10082454642879288,1.2969496071748818,0.4436474786281086,0.01,0.005,0.9634296506339011,1.0000132801253958,False,False,1
3391,0,33.91000000000182,0.01,1,2,0.10576623608258283,1.2975656796979826,0.4317874134534493,0.01,0.005,0.9652299649159543,1.0000120681456592,False,False,1
3392,0,33.92000000000182,0.01,1,2,0.11059626460899619,1.297482251149875,0.42082109867259354,0.01,0.005,0.9668892370138258,1.0000110370662534,False,False,1
3393,0,33.93000000000182,0.01,1,2,0.11532179194863489,1.296777936623471,0.41061225860236555,0.01,0.005,0.9684542681342125,1.0000101510680455,False,False,1
3394,0,33.94000000000182,0.01,1,2,0.11994907692519939,1.2955149583376933,0.40104921044324077,0.01,0.005,0.9699544474166708,1.0000093829764711,False,False,1
3395,0,33.950000000001815,0.01,1,2,0.1244836226345479,1.2937436070623978,0.3920392118376664,0.01,0.005,0.9714071595582303,1.0000087118414385,False,False,1
3396,0,33.96000000000181,0.01,1,2,0.1289302945740231,1.2915053346832217,0.3835043218724271,0.01,0.005,0.9728219789651644,1.0000081212785494,False,False,1
3397,0,33.97000000000181,0.01,1,2,0.1332934171365679,1.2888349282378837,0.37537832041131913,0.01,0.005,0.974203171202922,1.0000075983083692,False,False,1
3398,0,33.98000000000181,0.01,1,2,0.1375768528933837,1.285762076115255,0.3676043811333138,0.01,0.005,0.9755516267855638,1.0000071325289572,False,False,1
3399,0,33.99000000000181,0.01,1,2,0.1417840681384119,1.2823125107515365,0.36013329026485225,0.01,0.005,0.9768662916004003,1.0000067155160006,False,False,1
3400,0,34.000000000001805,0.01,1,2,0.14591818739995774,1.2785088535055076,0.3529220664015028,0.01,0.005,0.9781452319278869,1.0000063403812796,False,False,1
3401,0,34.0100000000018,0.01,1,2,0.14998203903900756,1.2743712469731001,0.3459328792076762,0.01,0.005,0.9793859711772743,1.0000060014431378,False,False,1
4496,0,44.959999999999624,0.01,1,2,0.14785040060003846,-0.7579392701801769,1.5258728535869397,0.01,0.005,1.001598362603164,1.0000061757428511,False,True,1
4497,0,44.96999999999962,0.01,1,2,0.14548037304466552,-0.724162331834984,1.5426221690508508,0.01,0.005,1.0013987853997208,1.0000063786007292,False,True,1
4498,0,44.97999999999962,0.01,1,2,0.14320297822262268,-0.688674058887325,1.5592643977251506,0.01,0.005,1.0012419881740504,1.0000065830953373,False,True,1
4499,0,44.98999999999962,0.01,1,2,0.14102592627931762,-0.6514407615439091,1.5757256726644837,0.01,0.005,1.0011300754529855,1.0000067879141037,False,True,1
4500,0,44.999999999999616,0.01,1,2,0.1389571947030814,-0.6124368500115623,1.5919245748075685,0.01,0.005,1.0010619747266702,1.0000069915295695,False,True,1
4501,0,45.009999999999614,0.01,1,2,0.1370049808938625,-0.5716465269057184,1.6077723866342235,0.01,0.005,1.001032505185891,1.0000071921970262,False,False,1
4502,0,45.01999999999961,0.01,1,2,0.13517764215141229,-0.5290655220303335,1.6231736145156597,0.01,0.005,1.0010327794029457,1.000007387960577,False,False,1
4503,0,45.02999999999961,0.01,1,2,0.13348362246825976,-0.48470283594014757,1.638026820956531,0.01,0.005,1.0010501648883894,1.0000075766695962,False,False,1
4504,0,45.03999999999961,0.01,1,2,0.13193136599742367,-0.4385824001460096,1.6522257992494884,0.01,0.005,1.0010689948697569,1.0000077560073461,False,False,1
4505,0,45.049999999999606,0.01,1,2,0.13052921772493614,-0.39074457429474097,1.6656611085740443,0.01,0.005,1.001071901659423,1.000007923533009,False,False,1
4506,0,45.059999999999604,0.01,1,2,0.12928531263092982,-0.34124738654562164,1.6782219673795105,0.01,0.005,1.001040786567764,1.0000080767375925,False,False,1
4507,0,45.0699999999996,0.01,1,2,0.128207455523505,-0.29016739225595767,1.6897984769274428,0.01,0.005,1.000958487086432,1.0000082131130539,False,False,1
4508,0,45.0799999999996,0.01,1,2,0.12730299466958062,-0.2376000560214481,1.7002841168624039,0.01,0.005,1.0008095502922694,1.0000083302326603,False,False,1
4509,0,45.0899999999996,0.01,1,2,0.12657869326764093,-0.18365953451070835,1.7095784230421507,0.01,0.005,1.0005819390762338,1.0000084258391189,False,False,1
4510,0,45.099999999999596,0.01,1,2,0.12604060357076827,-0.1284778122553384,1.717589728406669,0.01,0.005,1.0002671466555362,1.0000084979355928,False,False,1
4511,0,45.109999999999594,0.01,1,2,0.12569394900548167,-0.07220311369265602,1.724237824371276,0.01,0.005,0.9998605642643069,1.0000085448736449,False,False,1
4512,0,45.11999999999959,0.01,1,2,0.12554301984211141,-0.014997612549321474,1.729456387322494,0.01,0.005,0.9993619907489987,1.0000085654315016,False,False,1
4513,0,45.12999999999959,0.01,1,2,0.12559108766747884,0.04296548847772975,1.7331950164983558,0.01,0.005,0.998774548982027,1.000008558876204,False,False,1
4514,0,45.13999999999959,0.01,1,2,0.12584034323212995,0.10150542896540113,1.7354207464690887,0.01,0.005,0.9981043852345081,1.0000085250041144,False,False,1
4515,0,45.14999999999959,0.01,1,2,0.12629186110909957,0.16043772271111478,1.7361189298321176,0.01,0.005,0.997359801223687,1.000008464155911,False,False,1
4516,0,45.159999999999584,0.01,1,2,0.12694559308357822,0.2195781649788417,1.7352934306981522,0.01,0.005,0.9965506237782435,1.0000083772044925,False,False,1
4517,0,45.16999999999958,0.01,1,2,0.12780039051397354,0.2787467942231637,1.73296612134825,0.01,0.005,0.9956869933951311,1.0000082655166496,False,False,1
4518,0,45.17999999999958,0.01,1,2,0.12885405421464227,0.33777161712766957,1.7291757267926462,0.01,0.005,0.9947791399697288,1.0000081308918012,False,False,1
4519,0,45.18999999999958,0.01,1,2,0.13010340885005564,0.3964918902027883,1.7239761085714889,0.01,0.005,0.9938365604021072,1.000007975483013,False,False,1
4520,0,45.19999999999958,0.01,1,2,0.13154439758683673,0.45476083667165423,1.7174341143431686,0.01,0.005,0.9928680180667121,1.0000078017067198,False,False,1
4521,0,45.209999999999575,0.01,1,2,0.13317219193175756,0.5124476911817978,1.709627140218229,0.01,0.005,0.9918810533562459,1.0000076121479988,False,False,1
4522,0,45.21999999999957,0.01,1,2,0.13498131131782787,0.5694390537803626,1.7006405576266481,0.01,0.005,0.9908823676895964,1.000007409467868,False,False,1
4523,0,45.22999999999957,0.01,1,2,0.1369657470704714,0.6256395494685079,1.690565147171987,0.01,0.005,0.9898778621288477,1.0000071963180295,False,False,1
4524,0,45.23999999999957,0.01,1,2,0.13911908582007868,0.6809718626959907,1.6794946616156194,0.01,0.005,0.9888724952827705,1.0000069752671097,False,False,1
4525,0,45.24999999999957,0.01,1,2,0.14143462817476146,0.7353762404816305,1.6675236126397286,0.01,0.005,0.9878708475457048,1.0000067487408382,False,False,1
4526,0,45.259999999999565,0.01,1,2,0.14390549932792296,0.7888095535910521,1.654745346099911,0.01,0.005,0.9868767250748253,1.000006518977151,False,False,1
4527,0,45.26999999999956,0.01,1,2,0.14652474922087624,0.8412440502646354,1.641250441204359,0.01,0.005,0.9858938491403613,1.0000062879959042,False,False,1
4528,0,45.27999999999956,0.01,1,2,0.1492854407759532,0.8926658848027513,1.6271254433923736,0.01,0.005,0.9849250268536041,1.0000060575819398,False,False,1
