old_event_index,new_event_index,pair,old_t_yr,new_t_yr,time_gap,old_r_au,new_r_au,old_v_rad_norm,new_v_rad_norm,old_v_tan_norm,new_v_tan_norm,old_c_pred,new_c_pred,delta_c_new_minus_old,old_phase,new_phase
0,0,1-2,33.51999999999946,33.51999999999946,0.0,0.141066995344936,0.141066995344936,-1.293352456486644,-1.293352456486644,0.6566479672852827,0.6566479672852827,1.0760516806700144,1.1560048287913673,0.0799531481213529,approach,approach
1,1,1-2,33.55999999999946,33.55999999999946,0.0,0.12405704451362641,0.12400894621561742,-1.2459860594188272,-1.25372022041897,0.6968619952458833,0.6969980596926382,1.0949004843016634,1.1126048478017878,0.017704363500124387,approach,approach
2,2,1-2,33.59999999999946,33.59999999999946,0.0,0.10649612862601074,0.10632358081979128,-1.2027378540727802,-1.2114415408412826,0.7479413026843448,0.7485543178307964,1.1269232718813647,1.078936226593303,-0.04798704528806175,approach,approach
3,3,1-2,33.63999999999946,33.63999999999946,0.0,0.08811394435028577,0.08784731717722663,-1.1599905524685272,-1.1596727799027944,0.8171851717358523,0.8184441386381123,1.1817568356309005,1.076468040993667,-0.1052887946372334,approach,approach
4,4,1-2,33.67999999999946,33.67999999999946,0.0,0.06859028273908538,0.06846285268514765,-1.109478765282985,-1.0866007194209586,0.9204666269903498,0.9213550776409883,1.2631618211019013,1.1608701606400444,-0.10229166046185689,approach,approach
5,5,1-2,33.839999999999456,33.839999999999456,0.0,0.05461535280950804,0.05300978640049908,1.0423751075072436,0.9926881772650183,1.0244869342672158,1.0400298897370286,0.7800987605391692,0.8143122813690694,0.03421352082990026,recede/side,recede/side
6,6,1-2,33.879999999999455,33.879999999999455,0.0,0.07645890916102686,0.07408960435725633,1.2695554698578273,1.2096178107613413,0.8609297365659065,0.8751285661892468,0.8306532557263592,0.8302630233841314,-0.000390232342227792,recede/side,recede/side
7,7,1-2,33.919999999999455,33.919999999999455,0.0,0.09848291821126168,0.09540151182548015,1.4070128025704067,1.3414998624101029,0.7494764240934001,0.7625403482972305,0.8653299846023712,0.8462301003817617,-0.019099884220609487,recede/side,recede/side
8,8,1-2,33.959999999999454,33.959999999999454,0.0,0.11999341675728936,0.11623654057816867,1.5062982389436854,1.436526606743407,0.6657654804483092,0.6781864866460061,0.8852881909789697,0.8595503521788727,-0.025737838800097057,recede/side,recede/side
9,9,1-2,33.99999999999945,33.99999999999945,0.0,0.14091748175575466,0.13650357782330752,1.5864163956480313,1.5121727551307873,0.5970084956391692,0.6092286194962294,0.8970050974826167,0.8694275988024638,-0.027577498680152912,recede/side,recede/side
