step_idx,substep_idx,t_yr,dt_step,pair_i,pair_j,r_au,v_rad_norm,v_tan_norm,m_i,m_j,c_pred,c_anal_softening,gate_fallback,strong_approach,n_zone3_pairs_this_step
1675,0,33.49999999999964,0.02,1,2,0.1480652056457027,-1.3195318978416621,0.392370383043555,0.01,0.005,1.0710253907718836,1.0000061578369595,False,True,1
1676,0,33.51999999999964,0.02,1,2,0.13959482532980685,-1.3058870828398694,0.40930818644803996,0.01,0.005,1.0672369738621565,1.0000069278046135,False,True,1
1677,0,33.539999999999644,0.02,1,2,0.13094671611766298,-1.29394740550012,0.42730700749362316,0.01,0.005,1.0647370404531273,1.0000078730881696,False,True,1
1678,0,33.55999999999965,0.02,1,2,0.12208260419421607,-1.283549196118639,0.4466954736132772,0.01,0.005,1.0639904205700397,1.0000090578860834,False,True,1
1679,0,33.57999999999965,0.02,1,2,0.11295688606253503,-1.2745188253064421,0.4679492721120485,0.01,0.005,1.0657321011476992,1.0000105805711357,False,True,1
1680,0,33.59999999999965,0.02,1,2,0.10351360040378642,-1.2666697779635632,0.4917713497909373,0.01,0.005,1.0710338604234484,1.000012599109532,False,True,1
1681,0,33.619999999999656,0.02,1,2,0.09368164358256147,-1.259793104442282,0.5192362374871176,0.01,0.005,1.0814144906821226,1.0000153824629892,False,True,1
1682,0,33.63999999999966,0.02,1,2,0.08336688745724331,-1.2536295776605724,0.5520692505641256,0.01,0.005,1.0992059456229217,1.000019424417322,False,True,1
1683,0,33.65999999999966,0.02,1,2,0.07243848080607182,-1.247806942809452,0.5932399267680987,0.01,0.005,1.1286748392638202,1.0000257274630675,False,True,1
1684,0,33.679999999999666,0.02,1,2,0.06070336364455913,-1.241727445643562,0.6483951181649676,0.01,0.005,1.1794204749742463,1.0000366362410031,False,True,1
1690,2,33.80999999999968,0.01,1,2,0.05049884387238954,1.208390676325809,0.7070443816382439,0.01,0.005,0.8885588322616297,1.0000529388776203,False,False,1
1691,0,33.81999999999969,0.02,1,2,0.05695370326843099,1.24018379979831,0.664647351655851,0.01,0.005,0.8701700358190854,1.000041619115334,False,False,1
1692,0,33.83999999999969,0.02,1,2,0.06921243319347488,1.287334004912438,0.6003039765229035,0.01,0.005,0.8912323474326508,1.0000281817250651,False,False,1
1693,0,33.859999999999694,0.02,1,2,0.08082875771429379,1.3191739856300146,0.5523642988791121,0.01,0.005,0.9049696769482131,1.0000206634796147,False,False,1
1694,0,33.8799999999997,0.02,1,2,0.09189513805698071,1.342087795540931,0.5144176731903048,0.01,0.005,0.9137535329913268,1.000015986369858,False,False,1
1695,0,33.8999999999997,0.02,1,2,0.10249057182274561,1.3592148934040422,0.48299176970833874,0.01,0.005,0.9188175504750216,1.0000128518860527,False,False,1
1696,0,33.9199999999997,0.02,1,2,0.11267817225589395,1.3723018822701427,0.4560262819288954,0.01,0.005,0.9213579400607947,1.0000106329788667,False,False,1
1697,0,33.939999999999706,0.02,1,2,0.12250795437536736,1.3823827403025089,0.4322078437464899,0.01,0.005,0.9223435825606313,1.0000089950968414,False,False,1
1698,0,33.95999999999971,0.02,1,2,0.13201976395396064,1.3901035625129994,0.4106498183264937,0.01,0.005,0.9223167569568693,1.0000077456242562,False,False,1
1699,0,33.97999999999971,0.02,1,2,0.14124569172239146,1.3958989504484989,0.39072479138700594,0.01,0.005,0.9213261255886226,1.0000067668077588,False,False,1
