rank,dataset_index,distance,weight,r_pair,v_rad_norm,v_tan_norm,min_r_nonn,relE_nonn,resid_pos_rms,resid_vel_rms,category_id
1,2328,1.1223694747e+01,1.2684966948e-01,1.1749404669e-01,-9.5276904106e-01,8.9696282148e-01,1.1749404669e-01,4.7961425036e-02,1.0782767487e+00,2.1466536091e+00,0
2,266,1.2447030640e+01,1.0314056735e-01,1.2044818699e-01,-8.4870785475e-02,7.8176563978e-01,1.0363279283e-01,2.8493661433e-02,1.1767612122e-01,1.6343339522e+00,1
3,611,1.2769725633e+01,9.7993642447e-02,1.3932938874e-01,-2.5901424885e-01,8.3161908388e-01,1.3932938874e-01,2.7703309432e-02,2.5262167909e-01,2.2568963793e+00,1
4,527,1.2792009889e+01,9.7652521175e-02,1.2805370986e-01,1.2905137241e-01,8.8136327267e-01,1.2270595878e-01,2.4341415614e-02,8.3154647314e-02,1.0430451610e+00,1
5,1706,1.2801148179e+01,9.7513149533e-02,1.1123357713e-01,-8.3107209206e-01,8.9580154419e-01,8.9425384998e-02,1.6716053709e-02,1.0266240205e-01,3.5278226114e-01,0
6,1328,1.2828884350e+01,9.7091956609e-02,1.3385033607e-01,-5.7759672403e-01,8.8055145741e-01,1.1872457713e-01,5.6226751767e-03,9.1166443457e-02,1.1274167978e+00,1
7,824,1.2909801126e+01,9.5878654132e-02,1.1929167062e-01,-1.0174819082e-01,8.6500799656e-01,9.9356092513e-02,1.9063673681e-03,6.6697824574e-02,5.2811624723e-01,1
8,1814,1.2973818257e+01,9.4934794272e-02,1.1123357713e-01,-8.3107209206e-01,8.9580154419e-01,8.9440025389e-02,2.8936542571e-02,1.0280746766e-01,3.5456141261e-01,0
9,785,1.2988371528e+01,9.4722167493e-02,1.2044818699e-01,-8.4870785475e-02,7.8176563978e-01,1.0363437980e-01,2.2944301367e-02,1.1767372040e-01,1.6343514133e+00,1
10,1423,1.3022738954e+01,9.4222877509e-02,1.3121296465e-01,-4.5728641748e-01,9.1827166080e-01,1.0227693617e-01,3.5427663475e-02,1.0697537733e-01,3.5469552626e-01,1
